건물명,식당명,메뉴,가격,,건물명,식당명,시작시간,종료시간,라스트오더
진관홀,,라면,3300,,진관홀,,,,19:30
진관홀,,치즈라면,3700,,학생회관,나루또,,,19:00
진관홀,,떡라면,3700,,학생회관,아지오,,,
진관홀,,김치찌개라면,4000,,학생회관,김밥천국,,,
진관홀,,부대찌개라면,4300,,군자관,계절밥상,10:30,18:30,
진관홀,,해물라면,4300,,,,,,
진관홀,,(유부)우동,4000,,,,,,
진관홀,,쫄만두,5000,,,,,,
진관홀,,김치찌개,5000,,,,,,
진관홀,,순두부찌개,5000,,,,,,
진관홀,,순쫄찌개,5000,,,,,,
진관홀,,소고기된장찌개,5500,,,,,,
진관홀,,김치나베,5500,,,,,,
진관홀,,설렁탕,5800,,,,,,
진관홀,,갈비탕,6000,,,,,,
진관홀,,뚝배기불고기,6000,,,,,,
진관홀,,소불고기만두전골,6000,,,,,,
진관홀,,떡만두국,5300,,,,,,
진관홀,,컵밥,5000,,,,,,
진관홀,,비빔밥,5000,,,,,,
진관홀,,치킨마요비빔밥,5000,,,,,,
진관홀,,참치마요비빔밥,5000,,,,,,
진관홀,,떡갈비마요비빔밥,5000,,,,,,
진관홀,,새우알밥,5300,,,,,,
진관홀,,소고기비빔밥,5500,,,,,,
진관홀,,매콤제육비빔밥,5500,,,,,,
진관홀,,불닭마요비빔밥,5500,,,,,,
진관홀,,닭불고기덮밥,5500,,,,,,
진관홀,,돼지불고기덮밥,5500,,,,,,
진관홀,,떡갈비덮밥,5500,,,,,,
진관홀,,제육덮밥,5500,,,,,,
진관홀,,회덮밥,5500,,,,,,
진관홀,,수제소세지밥,5000,,,,,,
진관홀,,치킨까스,5500,,,,,,
진관홀,,함박스테이크,5800,,,,,,
진관홀,,등심왕돈까스,6000,,,,,,
진관홀,,치즈돈까스,6300,,,,,,
진관홀,,고구마치즈돈까스,6300,,,,,,
진관홀,,미트그라탕,6000,,,,,,
진관홀,,미트스파게티,6000,,,,,,
진관홀,,크림그라탕,6000,,,,,,
진관홀,,크림스파게티,6000,,,,,,
진관홀,,군만두,1800,,,,,,
진관홀,,새우튀김,1800,,,,,,
진관홀,,떡갈비추가,1800,,,,,,
진관홀,,피카츄,2000,,,,,,
진관홀,,소떡소떡,3000,,,,,,
진관홀,,콜팝(얼음없음),3500,,,,,,
진관홀,,물냉면,4500,,,,,,
진관홀,,비빔냉면,5000,,,,,,
학생회관,나루또,세종대왕돈까스,6000,,,,,,
학생회관,나루또,치킨까스,4500,,,,,,
학생회관,나루또,생선 까스,4000,,,,,,
학생회관,나루또,고구마돈까스,5000,,,,,,
학생회관,나루또,등심돈까스,5000,,,,,,
학생회관,나루또,가츠동,4300,,,,,,
학생회관,나루또,치즈 함박동,4700,,,,,,
학생회관,나루또,에비동,5000,,,,,,
학생회관,나루또,새우튀김 알밥,4500,,,,,,
학생회관,나루또,치킨 가라아게동,5000,,,,,,
학생회관,나루또,우삼겹 된장찌개,5000,,,,,,
학생회관,나루또,돼지고기 김치찌개,5000,,,,,,
학생회관,나루또,돈까스 김치찌개,5300,,,,,,
학생회관,나루또,참치 김치찌개,5000,,,,,,
학생회관,나루또,존슨치즈부대찌개,5500,,,,,,
학생회관,나루또,냉모밀,4000,,,,,,
학생회관,나루또,에비냉모밀,4500,,,,,,
학생회관,나루또,김치우동,2800,,,,,,
학생회관,나루또,어묵꼬치우동,3500,,,,,,
학생회관,나루또,왕새우튀김우동,5200,,,,,,
학생회관,나루또,왕새우튀김 냉모밀,5200,,,,,,
학생회관,나루또,새우튀김우동,4500,,,,,,
학생회관,나루또,야채핫바 우동,3700,,,,,,
학생회관,나루또,들기름소바,4300,,,,,,
학생회관,나루또,돈까스 우동정식,5000,,,,,,
학생회관,나루또,돈까스 냉모밀정식,5500,,,,,,
학생회관,나루또,들기름소바+떡갈비,6300,,,,,,
학생회관,나루또,돈까스 쟁반국수,5000,,,,,,
학생회관,나루또,돈까스 비빔모밀,4800,,,,,,
학생회관,나루또,치킨치즈까스 카레덮밥,5000,,,,,,
학생회관,나루또,치킨텐더 카레덮밥,4800,,,,,,
학생회관,나루또,새우튀김 카레덮밥,4800,,,,,,
학생회관,나루또,돈까스 카레덮밥,4800,,,,,,
학생회관,나루또,핫바 카레덮밥,4300,,,,,,
학생회관,나루또,함박 카레덮밥,4500,,,,,,
학생회관,나루또,등심왕돈까스,6000,,,,,,
학생회관,나루또,치즈돈까스,6300,,,,,,
학생회관,나루또,고구마치즈돈까스,6300,,,,,,
학생회관,나루또,미트그라탕,6000,,,,,,
학생회관,나루또,미트스파게티,6000,,,,,,
학생회관,나루또,크림그라탕,6000,,,,,,
학생회관,나루또,크림스파게티,6000,,,,,,
학생회관,나루또,군만두,1800,,,,,,
학생회관,나루또,새우튀김,1800,,,,,,
학생회관,나루또,떡갈비추가,1800,,,,,,
학생회관,나루또,피카츄,2000,,,,,,
학생회관,나루또,소떡소떡,3000,,,,,,
학생회관,나루또,콜팝(얼음없음),3500,,,,,,
학생회관,나루또,물냉면,4500,,,,,,
학생회관,나루또,비빔냉면,5000,,,,,,
학생회관,아지오,오므라이스,3500,,,,,,
학생회관,아지오,닭강정 오므라이스,5000,,,,,,
학생회관,아지오,돈까스 오므라이스,5000,,,,,,
학생회관,아지오,함박오므라이스,5000,,,,,,
학생회관,아지오,롱소세지 오므라이스,5500,,,,,,
학생회관,아지오,피카츄 오므라이스,4500,,,,,,
학생회관,아지오,소떡소떡 오므라이스,5800,,,,,,
학생회관,아지오,해쉬브라운 오므라이스,5500,,,,,,
학생회관,아지오,치킨치즈까스 오므라이스,5500,,,,,,
학생회관,아지오,떡갈비 오므라이스,5800,,,,,,
학생회관,아지오,갈릭스팸볶음밥,5000,,,,,,
학생회관,아지오,스팸김치볶음밥,5000,,,,,,
학생회관,아지오,삼겹살김치볶음밥,5000,,,,,,
학생회관,아지오,소금구이덮밥,4500,,,,,,
학생회관,아지오,제육덮밥,5000,,,,,,
학생회관,아지오,간장돼지불고기덮밥,5000,,,,,,
학생회관,아지오,쫑쫑덮밥,5000,,,,,,
학생회관,아지오,마그마 볶네치킨덮밥,5000,,,,,,
학생회관,아지오,불닭덮밥,5000,,,,,,
학생회관,아지오,카오팟삼겹,5500,,,,,,
학생회관,아지오,그제덮밥,5000,,,,,,
학생회관,아지오,소금구이 비빔밥,5500,,,,,,
학생회관,아지오,제육 비빔밥,5800,,,,,,
학생회관,아지오,삼겹살강된장 비빔밥,5500,,,,,,
학생회관,아지오,삼겹살볶음고추장비빔밥,5500,,,,,,
학생회관,아지오,간장돼불마요 비빔밥,6000,,,,,,
학생회관,아지오,불닭비빔밥,5500,,,,,,
학생회관,아지오,수육정식,7500,,,,,,
학생회관,아지오,대패삼겹 비빔밥,5500,,,,,,
학생회관,아지오,돈까스 카레덮밥,4800,,,,,,
학생회관,아지오,왕새우튀김 카레덮밥,5800,,,,,,
학생회관,아지오,함박 카레덮밥,4500,,,,,,
학생회관,아지오,치킨텐더 카레덮밥,4800,,,,,,
학생회관,아지오,롱소세지 카레덮밥,5000,,,,,,
학생회관,아지오,해쉬브라운 카레덮밥,5000,,,,,,
학생회관,아지오,닭강정,3800,,,,,,
학생회관,아지오,소떡소떡,3000,,,,,,
학생회관,아지오,회오리감자,3300,,,,,,
학생회관,김밥천국,진라면(매운맛),2500,,,,,,
학생회관,김밥천국,신라면,3000,,,,,,
학생회관,김밥천국,틈새라면,3300,,,,,,
학생회관,김밥천국,진라면(순한맛),2500,,,,,,
학생회관,김밥천국,※ 라면 치즈추가,500,,,,,,
학생회관,김밥천국,참치마요 비빔밥,3800,,,,,,
학생회관,김밥천국,참치 마그마요 비빔밥,4000,,,,,,
학생회관,김밥천국,국물라볶이,4500,,,,,,
학생회관,김밥천국,로제떡볶이,5500,,,,,,
학생회관,김밥천국,※ 셀프주먹밥 추가(세트),1500,,,,,,
학생회관,김밥천국,※ 치즈추가,500,,,,,,
학생회관,김밥천국,육회비빔밥,5500,,,,,,
학생회관,김밥천국,돈육 순두부찌개,4800,,,,,,
학생회관,김밥천국,스팸치즈 순두부찌개,5500,,,,,,
학생회관,김밥천국,떡만두국,4200,,,,,,
학생회관,김밥천국,물냉면,4000,,,,,,
학생회관,김밥천국,비빔냉면,4500,,,,,,
학생회관,김밥천국,잔치국수,3500,,,,,,
학생회관,김밥천국,떡갈비+물냉면,6000,,,,,,
학생회관,김밥천국,떡갈비+비빔냉면,6500,,,,,,
학생회관,김밥천국,칼만두,4300,,,,,,
학생회관,김밥천국,스팸치즈 순두부찌개,5500,,,,,,
학생회관,김밥천국,떡만두국,4200,,,,,,
학생회관,김밥천국,김치말이국수,4000,,,,,,
군자관,계절밥상,주간식단표 참고,7000,,,,,,
